symbol,direction,entry_time,exit_time,entry_price,exit_price,sl,tp1,tp2,exit_reason,pnl_pct,rr_achieved,duration_bars,duration_hours,tp2_mult
ASELS,BUY,2024-12-06T04:00:00+00:00,2024-12-09T08:00:00+00:00,71.2,69.7326,69.7326,73.6456,74.1347,SL,-2.0609,-1.0,4,16,3.0
ASELS,BUY,2024-12-09T08:00:00+00:00,2024-12-11T08:00:00+00:00,70.75,69.3027,69.3027,73.1622,73.6447,SL,-2.0457,-1.0,6,24,3.0
ASELS,SELL,2024-12-16T12:00:00+00:00,2024-12-18T08:00:00+00:00,67.95,69.2395,69.2395,65.8009,65.3711,SL,-1.8977,-1.0,5,20,3.0
ASELS,BUY,2024-12-23T04:00:00+00:00,2024-12-31T04:00:00+00:00,72.45,73.6,70.6277,75.4872,76.0946,EXPIRED,1.5873,0.6311,18,72,3.0
ASELS,BUY,2024-12-31T08:00:00+00:00,2025-01-07T12:00:00+00:00,73.4,76.6665,71.7668,76.1221,76.6665,TP2,4.4502,2.0,13,52,3.0
ASELS,BUY,2025-01-14T04:00:00+00:00,2025-01-15T08:00:00+00:00,79.7,77.9472,77.9472,82.6214,83.2057,SL,-2.1993,-1.0,4,16,3.0
ASELS,BUY,2025-01-17T04:00:00+00:00,2025-01-24T12:00:00+00:00,81.45,85.4685,79.4407,84.7988,85.4685,TP2,4.9337,2.0,17,68,3.0
ASELS,BUY,2025-01-30T08:00:00+00:00,2025-02-05T08:00:00+00:00,88.85,86.5228,86.5228,92.7287,93.5045,SL,-2.6193,-1.0,12,48,3.0
ASELS,SELL,2025-02-14T08:00:00+00:00,2025-02-18T04:00:00+00:00,78.5,80.7022,80.7022,74.8297,74.0956,SL,-2.8054,-1.0,5,20,3.0
ASELS,BUY,2025-02-27T04:00:00+00:00,2025-02-28T08:00:00+00:00,87.6,92.5757,85.1121,91.7464,92.5757,TP2,5.6801,2.0,4,16,3.0
ASELS,BUY,2025-03-13T12:00:00+00:00,2025-03-19T08:00:00+00:00,116.3,116.3,112.0095,123.4509,124.8811,TP1_BE,0.0,0.0,11,44,3.0
ASELS,BUY,2025-04-02T08:00:00+00:00,2025-04-07T04:00:00+00:00,119.4,114.4548,114.4548,127.6421,129.2905,SL,-4.1417,-1.0,8,32,3.0
ASELS,BUY,2025-04-10T04:00:00+00:00,2025-04-15T04:00:00+00:00,122.7,118.1876,118.1876,130.2206,131.7248,SL,-3.6776,-1.0,9,36,3.0
ASELS,BUY,2025-04-18T08:00:00+00:00,2025-04-28T08:00:00+00:00,129.0,138.5337,124.2331,136.9448,138.5337,TP2,7.3905,2.0,15,60,3.0
ASELS,SELL,2025-05-20T04:00:00+00:00,2025-05-23T12:00:00+00:00,132.3,138.3011,138.3011,122.2982,120.2978,SL,-4.536,-1.0,11,44,3.0
